,strain,pathway,genus,phylum,class,order,family,BUT,PRO
219,Bifidobacterium boum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
220,Bifidobacterium breve,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
221,Bifidobacterium catenulatum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
222,Bifidobacterium coryneforme,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
223,Bifidobacterium dentium,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
224,Bifidobacterium gallicum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
225,Bifidobacterium longum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
226,Bifidobacterium mongoliense,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
227,Bifidobacterium pseudocatenulatum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
228,Bifidobacterium pseudolongum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
229,Bifidobacterium ruminantium,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
230,Bifidobacterium scardovii,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
231,Bifidobacterium stercoris,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
232,Bifidobacterium thermacidophilum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
233,Bifidobacterium thermophilum,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
234,Bifidobacterium-adolescentis-L2-32-MAF-2,,Bifidobacterium,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,0,0
235,Bilophila wadsworthia,Ace,Bilophila,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,1,0
236,Blastococcus massiliensis,,Blastococcus,Actinomycetota,Actinomycetes,Geodermatophilales,Geodermatophilaceae,0,0
237,Blastomonas natatoria,,Blastomonas,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,0,0
238,Blautia coccoides,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
239,Blautia faecis,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
240,Blautia glucerasea,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
241,Blautia luti,Pro,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,1
242,Blautia massiliensis,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
243,Blautia producta,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
244,Blautia stercoris,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
245,Blautia wexlerae DSM 19850 MAF 2,Pro,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,1
246,Blautia-hansenii-DSM-20583-MAF-2,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
247,Blautia-hydrogenotrophica-DSM-10507-MAF-2,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
248,Blautia-obeum-ATCC-29174-MAF-2,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
249,Blautia-sp-KLE-1732-MAF-2,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
250,Blautia-wexlerae-DSM-19850-MAF-2,,Blautia,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
251,Bordetella hinzii,,Bordetella,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,0,0
252,Brachybacterium ginsengisoli,,Brachybacterium,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,0,0
253,Brachybacterium paraconglomeratum,,Brachybacterium,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,0,0
254,Brachymonas chironomi,Ace,Brachymonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,1,0
255,Brachyspira aalborgi,,Brachyspira,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,0,0
256,Brachyspira pilosicoli,Ace,Brachyspira,Spirochaetota,Spirochaetia,Brachyspirales,Brachyspiraceae,1,0
257,Bradyrhizobium denitrificans,,Bradyrhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
258,Bradyrhizobium elkanii,,Bradyrhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
259,Bradyrhizobium icense,,Bradyrhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
260,Bradyrhizobium japonicum,,Bradyrhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
261,Bradyrhizobium neotropicale,,Bradyrhizobium,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,0,0
262,Brevibacillus agri,,Brevibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
263,Brevibacillus borstelensis,,Brevibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
264,Brevibacillus brevis,,Brevibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
265,Brevibacillus massiliensis,,Brevibacillus,Bacillota,Bacilli,Bacillales,Paenibacillaceae,0,0
266,Brevibacterium casei,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
267,Brevibacterium epidermidis,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
268,Brevibacterium halotolerans,Ace,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,1,0
269,Brevibacterium iodinum,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
270,Brevibacterium linens,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
271,Brevibacterium massiliense,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
272,Brevibacterium ravenspurgense,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
273,Brevibacterium sanguinis,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
274,Brevibacterium senegalense,,Brevibacterium,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,0,0
275,Brevundimonas aurantiaca,Ace,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1,0
276,Brevundimonas bacteroides,,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,0,0
277,Brevundimonas bullata,Ace,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1,0
278,Brevundimonas diminuta,Ace,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1,0
279,Brevundimonas terrae,Ace,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1,0
280,Brevundimonas vesicularis,Ace,Brevundimonas,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,1,0
281,Brochothrix thermosphacta,,Brochothrix,Bacillota,Bacilli,Bacillales,Listeriaceae,0,0
282,Bulleidia extructa,,Bulleidia,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,0,0
283,Burkholderia arboris,,Burkholderia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0
284,Burkholderia cepacia,,Burkholderia,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,0,0
285,Butyricicoccus pullicaecorum,4Ami,Butyricicoccus,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
286,Butyricimonas faecihominis,SP,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
287,Butyricimonas faecihominis,Lys,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
288,Butyricimonas faecihominis,Ace,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
289,Butyricimonas paravirosa,SP,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
290,Butyricimonas paravirosa,Lys,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
291,Butyricimonas synergistica,SP,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
292,Butyricimonas synergistica,Lys,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
293,Butyricimonas synergistica,Ace,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
294,Butyricimonas virosa DSM 23226 MAF 2,Lys,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,1,0
295,Butyricimonas virosa DSM 23226 MAF 2,SP,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,1
296,Butyricimonas-virosa-DSM-23226-MAF-2,,Butyricimonas,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,0,0
297,Butyrivibrio crossotus DSM 2876 MAF 2,Ace,Butyrivibrio,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
298,Butyrivibrio fibrisolvens,Ace,Butyrivibrio,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
299,Butyrivibrio-crossotus-DSM-2876-MAF-2,,Butyrivibrio,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
300,Caldicoprobacter faecalis,,Caldicoprobacter,Bacillota,Clostridia,Eubacteriales,Caldicoprobacteraceae,0,0
301,Campylobacter coli,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
302,Campylobacter concisus,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
303,Campylobacter curvus,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
304,Campylobacter fetus,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
305,Campylobacter gracilis,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
306,Campylobacter hominis,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
307,Campylobacter hyointestinalis,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
308,Campylobacter jejuni,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
309,Campylobacter lari,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
310,Campylobacter rectus,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
311,Campylobacter showae,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
312,Campylobacter upsaliensis,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
313,Campylobacter ureolyticus,,Campylobacter,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,0,0
314,Capnocytophaga granulosa,,Capnocytophaga,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
315,Capnocytophaga ochracea,,Capnocytophaga,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
316,Capnocytophaga sputigena,,Capnocytophaga,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,0,0
317,Cardiobacterium hominis,,Cardiobacterium,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,0,0
318,Carnobacterium inhibens,,Carnobacterium,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,0,0
319,Catabacter hongkongensis,,Catabacter,Bacillota,Clostridia,Eubacteriales,Christensenellaceae,0,0
320,Catenibacterium-mitsuokai-DSM-15897-MAF-2,,Catenibacterium,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,0,0
321,Caulobacter vibrioides,,Caulobacter,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,0,0
322,Cedecea davisae,,Cedecea,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,0
323,Cellulomonas composti,,Cellulomonas,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,0,0
324,Cellulomonas denverensis,,Cellulomonas,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,0,0
325,Cellulomonas massiliensis,,Cellulomonas,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,0,0
326,Cellulosilyticum lentocellum,,Cellulosilyticum,Bacillota,Clostridia,Eubacteriales,Cellulosilyticaceae,0,0
327,Cellulosimicrobium cellulans,,Cellulosimicrobium,Actinomycetota,Actinomycetes,Micrococcales,Promicromonosporaceae,0,0
328,Cetobacterium somerae,Lys,Cetobacterium,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,1,0
329,Christensenella minuta,Ace,Christensenella,Bacillota,Clostridia,Eubacteriales,Christensenellaceae,1,0
330,Chryseobacterium hominis,Ace,Chryseobacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,1,0
331,Citrobacter amalonaticus,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
332,Citrobacter braakii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
333,Citrobacter farmeri,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
334,Citrobacter freundii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
335,Citrobacter gillenii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
336,Citrobacter koseri,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
337,Citrobacter murliniae,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
338,Citrobacter pasteurii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
339,Citrobacter sedlakii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
340,Citrobacter werkmanii,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
341,Citrobacter youngae,Pro,Citrobacter,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,0,1
342,Cloacibacillus evryensis,Ace,Cloacibacillus,Synergistota,Synergistia,Synergistales,Synergistaceae,1,0
343,Cloacibacillus evryensis,SP,Cloacibacillus,Synergistota,Synergistia,Synergistales,Synergistaceae,0,1
344,Cloacibacillus porcorum,SP,Cloacibacillus,Synergistota,Synergistia,Synergistales,Synergistaceae,0,1
345,Cloacibacterium normanense,Ace,Cloacibacterium,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,1,0
346,Clostridioides difficile,4Ami,Clostridioides,Bacillota,Clostridia,Eubacteriales,Peptostreptococcaceae,1,0
347,Clostridium acetobutylicum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
348,Clostridium aldenense,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
349,Clostridium aminovalericum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
350,Clostridium asparagiforme,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
351,Clostridium baratii,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
352,Clostridium bartlettii,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
353,Clostridium beijerinckii,4Ami,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
354,Clostridium bifermentans,SP,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
355,Clostridium bolteae,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
356,Clostridium botulinum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
357,Clostridium butyricum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
358,Clostridium cadaveris,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
359,Clostridium celatum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
360,Clostridium cellobioparum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
361,Clostridium chauvoei,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
362,Clostridium citroniae,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
363,Clostridium clariflavum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
364,Clostridium cochlearium,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
365,Clostridium cocleatum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
366,Clostridium difficile,4Ami,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
367,Clostridium disporicum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
368,Clostridium disporicum,Pro,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
369,Clostridium fallax,Pro,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
370,Clostridium fallax,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
371,Clostridium felsineum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
372,Clostridium felsineum,Lys,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
373,Clostridium glycolicum,SP,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
374,Clostridium glycyrrhizinilyticum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
375,Clostridium hathewayi,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
376,Clostridium hiranonis,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
377,Clostridium hylemonae,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
378,Clostridium indolis,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
379,Clostridium innocuum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
380,Clostridium irregulare,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
381,Clostridium lactatifermentans,Acr,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
382,Clostridium lavalense,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
383,Clostridium lituseburense,SP,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
384,Clostridium lituseburense,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
385,Clostridium lituseburense,Lys,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
386,Clostridium methoxybenzovorans,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
387,Clostridium neonatale,Pro,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
388,Clostridium neonatale,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
389,Clostridium nexile,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
390,Clostridium paraputrificum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
391,Clostridium perfringens,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
392,Clostridium populeti,4Ami,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
393,Clostridium propionicum,Acr,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
394,Clostridium putrefaciens,Lys,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
395,Clostridium putrefaciens,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
396,Clostridium ramosum,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
397,Clostridium rectum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
398,Clostridium saccharogumia,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
399,Clostridium saccharoperbutylacetonicum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
400,Clostridium sardiniense,4Ami,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
401,Clostridium sartagoforme,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
402,Clostridium senegalense,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
403,Clostridium senegalense,Lys,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
404,Clostridium septicum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
405,Clostridium sordellii,SP,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
406,Clostridium sp M62 1 MAF 2,Glu,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
407,Clostridium sphenoides,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
408,Clostridium sporogenes,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
409,Clostridium sticklandii,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
410,Clostridium sticklandii,Lys,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
411,Clostridium sticklandii,SP,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
412,Clostridium symbiosum,4Ami,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
413,Clostridium tertium,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
414,Clostridium tyrobutyricum,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
415,Clostridium tyrobutyricum,Acr,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,1
416,Clostridium ventriculi,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
417,Clostridium vincentii,Ace,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,1,0
418,Clostridium-scindens-ATCC-35704-MAF-2,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
419,Clostridium-sp-M62-1-MAF-2,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
420,Clostridium-spiroforme-DSM-1552-MAF-2,,Clostridium,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,0,0
421,Collinsella aerofaciens,,Collinsella,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0,0
422,Collinsella intestinalis,,Collinsella,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0,0
423,Collinsella tanakaei,,Collinsella,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0,0
424,Collinsella-stercoris-DSM-13279-MAF-2,,Collinsella,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,0,0
425,Comamonas denitrificans,,Comamonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
426,Comamonas kerstersii,,Comamonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
427,Comamonas terrigena,,Comamonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
428,Comamonas testosteroni,,Comamonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
429,Comamonas thiooxydans,,Comamonas,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,0,0
430,Coprobacillus cateniformis,,Coprobacillus,Bacillota,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,0,0
431,Coprobacter fastidiosus,SP,Coprobacter,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,0,1
432,Coprobacter secundus,SP,Coprobacter,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,0,1
433,Coprococcus catus,Acr,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,1
434,Coprococcus catus,Ace,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
435,Coprococcus comes ATCC 27758 MAF 2,Ace,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
436,Coprococcus eutactus ATCC 27759 MAF 2,Ace,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,1,0
437,Coprococcus-comes-ATCC-27758-MAF-2,,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
438,Coprococcus-eutactus-ATCC-27759-MAF-2,,Coprococcus,Bacillota,Clostridia,Eubacteriales,Lachnospiraceae,0,0
439,Corynebacterium afermentans,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
440,Corynebacterium ammoniagenes,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
441,Corynebacterium amycolatum,WWC,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,1
442,Corynebacterium appendicis,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
443,Corynebacterium aurimucosum,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
444,Corynebacterium coyleae,,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,0
445,Corynebacterium durum,WWC,Corynebacterium,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,0,1
